,n,nc,Pii,Pij,Phi,K,p,q,B,ratio,out-in,Graph,rep,design,Estimator,Bias,Abs_Bias,Rel_bias_sq,Bias_sq
117,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,0,Bernoulli,LS-Prop,-0.9626604199689368,-2.4149059684165586,0.9267150841747698,5.8317708362939165
118,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,0,Bernoulli,LS-Num,-0.7382218164322822,-1.8518848739778426,0.5449714502565782,3.42947758646793
119,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,0,Bernoulli,DM,-0.9997993373200905,-2.508071732076733,0.9995987149056922,6.290423813242384
120,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,0,Bernoulli,DM($0.75$),-0.7043188826659151,-1.7668368181931526,0.4960650884797631,3.1217123421229034
121,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,1,Cluster,PI-$n$($p$),-0.0256723593852798,-0.06440104175556272,0.0006590700364069638,0.004147494179201732
122,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,1,Cluster,PI-$\mathcal{U}$($p$),-0.0256723593852798,-0.06440104175556272,0.0006590700364069638,0.004147494179201732
123,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,1,Cluster,LS-Prop,0.10578022121211092,0.2653576300080909,0.011189455199683122,0.07041467180351085
124,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,1,Cluster,LS-Num,0.2043145950801151,0.5125385077216569,0.04174445376275139,0.2626957218975429
125,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,1,Cluster,DM,-0.5698165201394156,-1.429427539392792,0.3246908666237931,2.043263090374532
126,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,1,Cluster,DM($0.75$),0.3108219716700473,0.7797202616112755,0.0966102980728557,0.6079636863671559
127,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,1,Bernoulli,PI-$n$($B$),0.07835066459978116,0.19654852702630166,0.0061388266432274,0.03863132347620883
128,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,1,Bernoulli,LS-Prop,-0.43646951825511376,-1.094916569541922,0.19050564036585108,1.1988422942574506
129,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,1,Bernoulli,LS-Num,-0.3313538117714311,-0.8312259246414497,0.10979534857545697,0.690936537796033
130,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,1,Bernoulli,DM,-0.9581886476687909,-2.403688191729146,0.9181254845213462,5.777716923058133
131,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,1,Bernoulli,DM($0.75$),-0.7711580903622177,-1.9345079909575251,0.5946848003311024,3.74232116707852
